910 , -14.5725
960 , -9.168
1010 , -11.4249
1060 , -8.16233
1110 , -4.82317
1160 , -2.80809
1210 , -9.48153
1260 , -8.53282
1310 , -6.0205
1360 , -17.6265
1410 , -12.2511
1460 , -16.6922
1510 , -17.0604
1560 , 23.6492
1610 , -7.97634
1660 , -8.60229
1710 , -21.9594
1760 , -18.2861
1810 , -7.74593
1860 , -9.70641
1910 , -4.74507
1960 , -12.0094
2010 , -14.5308
2060 , -21.0023
2110 , -11.3556
2160 , -10.1743
2210 , 0.465202
2260 , 16.3995
2310 , 16.2175
2360 , 20.2809
2410 , 32.7266
2460 , 17.6409
2510 , 34.858
2560 , 52.823
2610 , 54.578
2660 , 58.6501
2710 , 72.1753
2760 , 75.5195
2810 , 75.7484
2860 , 85.085
2910 , 95.0428
2960 , 106.069
3010 , 105.903
3060 , 111.214
3110 , 128.197
3160 , 129.469
3210 , 126.772
3260 , 137.797
3310 , 147.165
3360 , 148.533
3410 , 143.741
3460 , 135.986
3510 , 137.69
3560 , 158.942
3610 , 184.549
3660 , 195.664
3710 , 196.34
3760 , 202.53
3810 , 207.601
3860 , 215.652
3910 , 219.147
3960 , 228.491
4010 , 219.217
4060 , 218.439
4110 , 222.465
4160 , 228.633
4210 , 236.042
4260 , 244.607
4310 , 241.335
4360 , 246.242
4410 , 249.117
4460 , 257.144
4510 , 269.691
4560 , 286.731
4610 , 292.583
4660 , 294.968
4710 , 291.582
4760 , 294.234
4810 , 300.12
4860 , 307.899
4910 , 320.84
4960 , 335.142
5010 , 349.407
5060 , 352.501
5110 , 354.133
5160 , 361.746
5210 , 357.5
5260 , 366.611
5310 , 369.933
5360 , 359.821
5410 , 356.345
5460 , 399.522
5510 , 455.332
5560 , 364.044
5610 , 370.3
5660 , 359.025
5710 , 367.548
5760 , 373.056
5810 , 370.244
