[2356.3489, 110.79931;
 2343.9473, 117.47932;
 2343.9473, 117.47932;
 2353.9182, 106.35942;
 2347.7075, 109.71995;
 2341.5293, 113.06279;
 2335.3835, 116.38808;
 2329.2698, 119.69597;
 2357.7249, 98.529472;
 2357.7249, 98.529472;
 2357.7249, 98.529472;
 2351.4875, 101.9196;
 2345.2832, 105.29185;
 2345.2832, 105.29185;
 2339.1113, 108.64635;
 2332.9719, 111.98323;
 2326.8645, 115.30264;
 2326.8645, 115.30264;
 2355.2876, 94.077805;
 2355.2876, 94.077805;
 2349.0566, 97.479713;
 2342.8586, 100.86368;
 2342.8586, 100.86368;
 2342.8586, 100.86368;
 2336.6934, 104.22983;
 2336.6934, 104.22983;
 2330.5603, 107.5783;
 2324.4592, 110.90924;
 2318.3901, 114.22279;
 2352.8503, 89.626137;
 2352.8503, 89.626137;
 2346.626, 93.039825;
 2334.2754, 99.813301;
 2334.2754, 99.813301;
 2328.1487, 103.17337;
 2322.054, 106.51585;
 2315.991, 109.84087;
 2315.991, 109.84087;
 2350.4131, 85.174545;
 2344.1951, 88.600014;
 2344.1951, 88.600014;
 2344.1951, 88.600014;
 2338.01, 92.007401;
 2331.8574, 95.396858;
 2325.7371, 98.768517;
 2313.592, 105.45901;
 2313.592, 105.45901;
 2329.4395, 90.980331;
 2329.4395, 90.980331;
 2329.4395, 90.980331;
 2329.4395, 90.980331;
 2329.4395, 90.980331;
 2329.4395, 90.980331;
 2323.3254, 94.363586;
 2317.2432, 97.729118;
 2311.1929, 101.07708;
 2314.8379, 93.335648;
 2314.8379, 93.335648;
 2314.8379, 93.335648;
 2314.8379, 93.335648;
 2314.8379, 93.335648;
 2314.8379, 93.335648;
 2312.4326, 88.942322;
 2312.4326, 88.942322;
 2312.4326, 88.942322]
